TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
448075,Pokemon,Jungle,Cubone,,50/64,Common,Lightly Played,0.61,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/45153_in_400x400.jpg
1201597,Pokemon,Legendary Collection,Ponyta,,087/110,Common,Lightly Played,0.32,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/88282_in_400x400.jpg
1201596,Pokemon,Team Rocket,Ponyta,,64/82,Common,Lightly Played,0.4,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/88281_in_400x400.jpg
449489,Pokemon,Jungle,Rhydon,,45/64,Uncommon,Lightly Played,0.53,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/45148_in_400x400.jpg
449831,Pokemon,Base Set,Growlithe,,028/102,Uncommon,Lightly Played,0.57,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/42369_in_400x400.jpg
449541,Pokemon,Base Set,Gastly,,050/102,Common,Lightly Played,0.45,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/42394_in_400x400.jpg
1197859,Pokemon,Neo Genesis,Cyndaquil (57),,057/111,Common,Lightly Played,0.7,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/84544_in_400x400.jpg
1197865,Pokemon,Unseen Forces,Cyndaquil,,54/115,Common,Lightly Played,0.64,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/84550_in_400x400.jpg
447919,Pokemon,Base Set,Wartortle,,042/102,Uncommon,Lightly Played,2.13,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/42385_in_400x400.jpg
448901,Pokemon,Jungle,Fearow,,36/64,Uncommon,Lightly Played,0.44,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/45139_in_400x400.jpg
448426,Pokemon,Jungle,Rhyhorn,,61/64,Common,Lightly Played,0.35,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/45164_in_400x400.jpg
448817,Pokemon,Fossil,Golem,,36/62,Uncommon,Lightly Played,0.72,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/44438_in_400x400.jpg
1201845,Pokemon,Neo Revelation,Raikou (22),,22/64,Rare,Lightly Played,9.76,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/88530_in_400x400.jpg
2961203,Pokemon,Gym Heroes,Sabrina's ESP,,117/132,Uncommon,Lightly Played,6.1,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/88869_in_400x400.jpg
2961153,Pokemon,Gym Heroes,Recall,,116/132,Uncommon,Lightly Played,8.52,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/88650_in_400x400.jpg
451387,Pokemon,Fossil,Graveler,,37/62,Uncommon,Lightly Played,0.36,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/44439_in_400x400.jpg
1200508,Pokemon,Neo Genesis,Mareep,,065/111,Common,Lightly Played,0.5,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/87193_in_400x400.jpg
1202324,Pokemon,Neo Genesis,Seadra,,048/111,Uncommon,Lightly Played,0.84,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/89009_in_400x400.jpg
1203306,Pokemon,Neo Genesis,Totodile (80),,080/111,Common,Lightly Played,0.79,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/89991_in_400x400.jpg
1200219,Pokemon,Neo Revelation,Lugia,,20/64,Rare,Lightly Played,19.93,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/86904_in_400x400.jpg
1202367,Pokemon,FireRed & LeafGreen,Seel,,78/112,Common,Lightly Played,0.26,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/89052_in_400x400.jpg
2960633,Pokemon,Gym Heroes,Brock's Geodude (66),,066/132,Common,Lightly Played,1.38,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/83964_in_400x400.jpg
2960596,Pokemon,Gym Heroes,Blaine's Quiz #1,,097/132,Rare,Lightly Played,11.62,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/83879_in_400x400.jpg
1198556,Pokemon,Unseen Forces,Energy Search,,94/115,Common,Lightly Played,0.16,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/85241_in_400x400.jpg
449917,Pokemon,Base Set,Potion,,094/102,Common,Lightly Played,0.15,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/42438_in_400x400.jpg
1202727,Pokemon,Neo Genesis,Snubbull,,074/111,Common,Lightly Played,0.39,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/89412_in_400x400.jpg
450205,Pokemon,Jungle,Jigglypuff,,54/64,Common,Lightly Played,0.44,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/45157_in_400x400.jpg
450522,Pokemon,Base Set 2,Doduo,,072/130,Common,Lightly Played,0.32,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/42492_in_400x400.jpg
1196800,Pokemon,Neo Genesis,Aipom,,026/111,Uncommon,Lightly Played,1.58,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/83485_in_400x400.jpg
448851,Pokemon,Base Set,Farfetch'd,,027/102,Uncommon,Lightly Played,0.64,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/42368_in_400x400.jpg
1203443,Pokemon,Neo Discovery,Tyrogue,,66/75,Common,Lightly Played,0.46,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/90128_in_400x400.jpg
1202377,Pokemon,Neo Genesis,Sentret,,071/111,Common,Lightly Played,0.59,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/89062_in_400x400.jpg
451222,Pokemon,Jungle,Exeggcute,,52/64,Common,Lightly Played,0.3,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/45155_in_400x400.jpg
450070,Pokemon,Jungle,Weepinbell,,48/64,Uncommon,Lightly Played,0.43,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/45151_in_400x400.jpg
450899,Pokemon,Fossil,Golbat,,34/62,Uncommon,Lightly Played,0.39,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/44436_in_400x400.jpg
1202567,Pokemon,Neo Genesis,Skiploom,,049/111,Uncommon,Lightly Played,0.47,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/89252_in_400x400.jpg
449211,Pokemon,Jungle,Butterfree,,33/64,Uncommon,Lightly Played,0.85,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/45136_in_400x400.jpg
447985,Pokemon,Base Set 2,Venonat,,097/130,Common,Lightly Played,0.53,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/42548_in_400x400.jpg
1197587,Pokemon,Neo Genesis,Chikorita (53),,53/111,Common,Lightly Played,0.82,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/84272_in_400x400.jpg
1197058,Pokemon,Neo Genesis,Bayleef (28),,028/111,Uncommon,Lightly Played,2.01,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/83743_in_400x400.jpg
2960658,Pokemon,Gym Heroes,Brock's Mankey (67),,067/132,Common,Lightly Played,1.33,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/83971_in_400x400.jpg
2898654,Pokemon,Neo Genesis,Togetic,,016/111,Holo Rare,Moderately Played,17.21,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/89939_in_400x400.jpg
1201123,Pokemon,EX Trainer Kit 1: Latias & Latios,Numel,,5/10,Common,Lightly Played,0.41,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/87808_in_400x400.jpg
1201212,Pokemon,Diamond and Pearl,Pachirisu,,35/130,Rare,Lightly Played,0.79,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/87897_in_400x400.jpg
1203651,Pokemon,Power Keepers,Vibrava,,40/108,Uncommon,Lightly Played,0.38,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/90336_in_400x400.jpg
1199289,Pokemon,Hidden Legends,Gulpin,,62/101,Common,Lightly Played,1,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/85974_in_400x400.jpg
1197592,Pokemon,Unseen Forces,Chikorita,,51/115,Common,Lightly Played,0.35,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/84277_in_400x400.jpg
449090,Pokemon,Base Set 2,Charmeleon,,035/130,Uncommon,Lightly Played,0.85,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/42474_in_400x400.jpg
449916,Pokemon,Base Set,Charmander,,046/102,Common,Lightly Played,0.69,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/42389_in_400x400.jpg
1199280,Pokemon,Deoxys,Grumpig,,32/107,Uncommon,Lightly Played,0.37,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/85965_in_400x400.jpg
1200316,Pokemon,Neo Genesis,Magby,,023/111,Rare,Lightly Played,1.38,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/87001_in_400x400.jpg
1202914,Pokemon,Neo Revelation,Suicune (27),,27/64,Rare,Lightly Played,13.9,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/89599_in_400x400.jpg
1196760,Pokemon,Team Rocket,Abra,,49/82,Common,Lightly Played,0.38,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/83445_in_400x400.jpg
1199434,Pokemon,Neo Revelation,Ho-oh (18),,18/64,Rare,Lightly Played,12.74,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/86119_in_400x400.jpg
2829713,Pokemon,Holon Phantoms,Psychic Energy,,109/110,Holo Rare,Damaged,3.12,,,,,1,,https://tcgplayer-cdn.tcgplayer.com/product/88421_in_400x400.jpg
